iGrID,RAJ2000,DEJ2000,z,logLtot,logLobs,logMtot,logMstar,NMstar,logMdyn,sigma,Rad,angRad,DL,Ntot
11753,127.85759735,40.95606995,0.0250147,11.22616,11.05461,12.29899,10.78639,1,,,,,104.9226,1
6298,128.37809753,41.5254097,0.0254709,11.99267,11.81417,13.69909,11.78586,5,11.4861,301.5431,482.9486,0.272261,106.8764,6
10617,128.11192322,41.99208832,0.025651,11.22105,11.03978,12.29123,11.17247,1,,,,,107.648,1
13545,125.15635681,40.27848053,0.0260768,11.14759,10.9598,12.22636,,0,,,,,109.4735,1
26977,126.06804657,41.95333862,0.0308642,11.19253,10.91927,12.23949,,0,,,,,130.083,1
23205,127.34372711,43.35874176,0.0316735,11.26043,10.97024,12.29359,10.34591,1,,,,,133.583,1
7712,129.68536377,43.54761124,0.0356327,11.79462,11.4135,12.74913,11.4544,1,,,,,150.7725,1
20590,128.71702576,44.63713074,0.0380791,11.61185,11.16972,12.57154,10.47922,1,,,,,161.4497,1
21360,131.33573914,44.50894928,0.0550715,12.50912,11.55307,13.31453,11.64543,1,,,,,236.8125,1
24404,129.28512573,45.16495132,0.0390745,11.62152,11.15349,12.57538,10.94564,1,,,,,165.8066,1
29645,129.78863525,45.12995148,0.0385131,11.65894,11.20522,12.61184,10.91669,1,,,,,163.3485,1
27213,130.70196533,45.6407814,0.015338,10.3612,10.29828,11.67262,,0,,,,,63.826,1
22708,128.91641235,46.49116898,0.0152596,10.38612,10.32356,11.69018,,0,,,,,63.4955,1
15028,129.45455933,47.35095978,0.03008,11.31819,11.06075,12.35186,10.71183,1,,,,,126.6957,1
19409,129.19126892,47.36943817,0.0533002,12.34319,11.44641,13.17045,11.36988,1,,,,,228.8576,1
12867,128.59463501,48.08805847,0.0435351,12.1587,11.56694,13.04482,11.58932,1,,,,,185.4181,1
3351,119.61711884,37.78665924,0.0413502,12.35792,11.82774,13.2382,11.89847,1,,,,,175.794,1
27105,120.22424316,39.41046906,0.069505,13.10923,11.64744,13.78773,,0,,,,,302.5091,1
12314,118.38197327,38.73318863,0.0413107,12.024,11.49503,12.93144,11.57391,1,,,,,175.6206,1
