iGalID,iGrID,Name,RAJ2000,DEJ2000,z,logMstar
34572,9893,"    03301150+0847360",52.54798126,8.79333019,0.0386178,
26222,19070,"    03384688+0916079",54.69538879,9.26887035,0.0223665,
25584,18615,"    03364741+0923258",54.19752121,9.39058971,0.0368439,
9403,6844,"    03375099+0936300",54.46242142,9.60836029,0.0381288,
31021,22531,"    03361080+0953160",54.04500961,9.88772964,0.0373503,
42663,3132,"    03384984+0949299",54.70766068,9.82503033,0.0330419,
27153,19745,"    03391811+0953531",54.82553101,9.89807987,0.0369816,
4352,3132,"    03384056+0958119",54.66902161,9.97000027,0.0340678,
7391,3210,"    03401712+1003181",55.07144165,10.05508041,0.0231594,
14227,10347,"    03402600+1004271",55.10836029,10.07423973,0.0350896,
4460,3210,"    03393051+1011221",54.8771019,10.18945026,0.0218885,
5415,3898,"    03381409+1005038",54.55870819,10.08436012,0.0376731,
10427,3132,"    03373802+1001184",54.40837097,10.02180004,0.0318389,
37480,3132,"    03375476+1002350",54.4781189,10.04308987,0.0314335,
31718,3132,"    03380860+1007068",54.53590012,10.11853027,0.0334583,
19119,13920,"    03385965+1024429",54.74853134,10.41193962,0.0351456,
14014,10201,"    03394668+1034482",54.94454956,10.58006954,0.0209191,
28271,20556,"    03273463+0859427",51.89432144,8.9951601,0.0374083,
24637,17928,"    03263530+0911052",51.64717865,9.18472004,0.0633009,
18255,13282,"    03274631+0906547",51.94300079,9.11515999,0.0234451,
40703,15506,"    03262233+0940045",51.59309006,9.66786957,0.0389455,
21326,15506,"    03262510+0940135",51.60462952,9.67041016,0.0368418,
34533,25073,"    03360106+1040390",54.00437927,10.67743015,0.0328206,
14559,10572,"    03353810+1102448",53.90877151,11.04586029,0.0324783,
41383,10572,"    03354482+1105000",53.93682098,11.08335972,0.0321653,
18341,13349,"    03154323+0828498",48.93021011,8.48054981,0.0328602,
34620,13349,"    03154517+0832065",48.93817902,8.53520012,0.0315598,
19249,14015,"    03102169+0829081",47.59045029,8.48558044,0.0308887,
10480,7619,"    03155409+0909345",48.9753685,9.15962982,0.0250842,
4838,3480,"    03221460+0934059",50.56077957,9.5682497,0.0232721,
5804,4183,"    03194313+0945079",49.92969894,9.75220966,0.024464,
39694,4183,"    03200796+0955487",50.03311157,9.93013954,0.0254293,
17597,12792,"    03131735+0920040",48.32233047,9.33444977,0.0234116,
29421,21378,"    03100479+0920351",47.52003098,9.34313965,0.0630734,
4112,2954,"    03035282+0936479",45.97018814,9.61328983,0.0298582,
5693,4094,"    03112797+1048292",47.86666107,10.80819035,0.0247223,
22857,16626,"    03111695+1129493",47.82057953,11.49703979,0.0236706,
16015,11628,"    03240203+1004271",51.00843048,10.07415962,0.0380539,
38224,27736,"    03204378+1003110",50.18236923,10.05305004,0.0630894,
30729,22327,"    03270164+1036261",51.75688171,10.6072197,0.0612364,
18013,13097,"    03285208+1143078",52.21707916,11.7188797,0.0255576,
23252,16909,"    03271636+1156530",51.81824112,11.94812012,0.0242497,
27528,20027,"    03234600+1213593",50.94178009,12.23309994,0.041901,
2831,2003,"    03270505+1233086",51.77111816,12.55237961,0.0204107,
42470,30770,"    03260903+1237232",51.53759003,12.62312031,0.0338562,
31063,22559,"    03280628+1308283",52.02621841,13.14122009,0.047131,
6012,4347,"    03180039+1146317",49.50167084,11.77552986,0.0230271,
31915,23170,"    03161614+1255541",49.06729126,12.93171978,0.0392359,
13414,9763,"    03213332+1332552",50.38882065,13.54868031,0.0279164,
25503,18566,"    02415422+0556531",40.47592163,5.94806004,0.0205188,
6854,4971,"    02353939+0616210",38.91413116,6.27253008,0.0201824,
2887,2049,"    02391920+0632381",39.83003998,6.54393005,0.0131707,
41929,20832,"    02434908+0638344",40.95457077,6.64291,0.019632,
28663,20832,"    02435687+0639174",40.98696899,6.65481997,0.019139,
37437,20832,"    02435257+0639074",40.96900177,6.65210009,0.0201858,
16500,11979,"    02413486+0711140",40.39529037,7.18717003,0.026218,
25882,18826,"    02401204+0731570",40.05015945,7.53249979,0.0696666,
18282,13306,"    02425206+0735518",40.71704102,7.59775019,0.0379109,
26550,19302,"    02434318+0741294",40.92993164,7.69147015,0.020584,
21284,15474,"    02435569+0749294",40.98212051,7.8248601,0.0382418,
16230,10362,"    02333872+0628238",38.41133881,6.47330999,0.0269937,
14247,10362,"    02333107+0631397",38.37945938,6.52774,0.0266162,
11853,1431,"    02363162+0718342",39.13174057,7.30951023,0.0196377,
30289,14571,"    02290972+0651316",37.29050064,6.85874987,0.0298764,
20018,14571,"    02294149+0652463",37.42287064,6.87959003,0.0312791,
31986,23228,"    02342771+0744262",38.61548996,7.74055004,0.0328043,
2043,1431,"    02371447+0718201",39.31034088,7.30563021,0.0208978,
29262,1431,"    02371649+0720091",39.31877136,7.3358202,0.021058,
31716,1431,"    02372026+0726231",39.33440018,7.4398098,0.0190072,
19920,1431,"    02362395+0732011",39.09986877,7.53362989,0.0210808,
13523,9849,"    02382437+0759345",39.60155869,7.99293995,0.0205716,
33371,2127,"    02410833+0812597",40.28469849,8.21658039,0.0208894,
30166,2127,"    02414774+0823051",40.44887161,8.38473034,0.0208153,
31059,2127,"    02411009+0826327",40.29199982,8.44237995,0.0209293,
22048,16035,"    02393602+0827521",39.90007019,8.46450996,0.0403839,
24765,18022,"    02405525+0835447",40.23027039,8.59576988,0.0175034,
5079,2127,"    02411285+0843099",40.30355072,8.71940994,0.0193953,
2992,2127,"    02410618+0844167",40.27571869,8.73801041,0.0200351,
28347,2127,"    02410301+0844487",40.26258087,8.74695015,0.0198814,
9245,2127,"    02403837+0850551",40.15983963,8.84856987,0.0194528,
9816,7144,"    02385563+0905504",39.73180008,9.09737015,0.016321,
571,383,"    02491961+0805334",42.33169937,8.09263992,0.0106932,
42183,24176,"    02500889+0809238",42.53712082,8.15662003,0.0252023,
33306,24176,"    02503476+0824413",42.64490128,8.41141987,0.0243301,
5121,3687,"    02470218+0839080",41.75907135,8.65221024,0.0246683,
4243,3048,"    02474463+0921244",41.93597031,9.35680008,0.0261278,
15840,2150,"    02545071+0847038",43.71136856,8.78439999,0.0248148,
19090,13896,"    02535064+0839375",43.46112061,8.66038036,0.0504535,
6947,2150,"    02552017+0849412",43.83407974,8.82816982,0.0259639,
19502,2150,"    02550427+0906408",43.76781845,9.11141014,0.0273163,
12657,2150,"    02551076+0920128",43.79483032,9.33685017,0.0265462,
13666,2150,"    02564001+0925215",44.1667099,9.42261982,0.0239083,
3023,2150,"    02555226+0918423",43.96768188,9.31175041,0.025022,
41437,2150,"    02554210+0919273",43.92536163,9.32419968,0.0242744,
22949,2150,"    02560584+0922433",44.02433014,9.37870979,0.0257365,
32705,2150,"    02562075+0939586",44.08649063,9.6662302,0.0242501,
7931,5767,"    02555424+1014243",43.97612,10.24009991,0.0249312,
31061,22558,"    02554509+1016102",43.93783951,10.26949024,0.043,
27457,19972,"    02405017+0924087",40.20915985,9.40242004,0.0199934,
19117,13918,"    02414595+0945150",40.44139099,9.75411987,0.0353727,
38474,27911,"    02410376+1000347",40.26568985,10.00957966,0.0369234,
28237,20532,"    02483141+0939056",42.13085175,9.65155029,0.0707837,
31987,23229,"    02451349+1047230",41.30619049,10.78969002,0.0692311,
22085,16061,"    02261660+0735405",36.56922913,7.59459019,0.0229243,
